GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	TAXON CONCEPT ID	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	EXOTIC CODE	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS454782401	2017-01-09 23:27:03	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				1					Honduras	HN	Atlántida	HN-AT							Río Santiago Nature Resort	L1676287	H	15.5931364	-87.0612424	2017-01-05	14:08:00	obsr555085	S33474319	Traveling	P22	EBIRD	35	0.402		1	1		0	1	0		<br>Submitted from eBird Android 1.3		
URN:CornellLabOfOrnithology:EBIRD:OBS466304557	2019-08-09 23:38:08	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				3					Honduras	HN	Atlántida	HN-AT							Río Santiago Nature Resort	L1676287	H	15.5931364	-87.0612424	2017-01-26	06:30:00	obsr294134	S34413559	Traveling	P22	EBIRD	270	3.000		4	1	G2233474	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS469833281	2019-08-09 23:38:09	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				3					Honduras	HN	Atlántida	HN-AT							Río Santiago Nature Resort	L1676287	H	15.5931364	-87.0612424	2017-01-26	06:30:00	obsr402712	S34741518	Traveling	P22	EBIRD	270	3.000		4	1	G2233474	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS478865499	2021-07-06 19:28:48.896072	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				1					Honduras	HN	Atlántida	HN-AT							Río Santiago Nature Resort	L1676287	H	15.5931364	-87.0612424	2017-01-04	06:30:00	obsr895260	S35444448	Traveling	P22	EBIRD	120	0.600		4	1	G2123141	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS454566542	2021-07-06 19:28:48.896072	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				1					Honduras	HN	Atlántida	HN-AT							Río Santiago Nature Resort	L1676287	H	15.5931364	-87.0612424	2017-01-04	06:30:00	obsr419548	S33454576	Traveling	P22	EBIRD	120	0.600		4	1	G2123141	0	1	0		Birding around the cabins		
URN:CornellLabOfOrnithology:EBIRD:OBS600569967	2022-10-26 03:23:14.40742	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				1					Honduras	HN	Atlántida	HN-AT							Tela Atlántida, Tela HN-Atlántida (15.7900,-87.4439)	L7229541	P	15.7899660	-87.4438720	2017-01-01	07:29:00	obsr683567	S44613484	Traveling	P22	EBIRD	500	5.000		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS454575501	2021-07-06 19:28:48.896072	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				1					Honduras	HN	Atlántida	HN-AT							Río Santiago Nature Resort	L1676287	H	15.5931364	-87.0612424	2017-01-04	06:30:00	obsr398519	S33455795	Traveling	P22	EBIRD	120	0.600		4	1	G2123141	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS454624541	2021-07-06 19:28:48.896072	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				1					Honduras	HN	Atlántida	HN-AT							Río Santiago Nature Resort	L1676287	H	15.5931364	-87.0612424	2017-01-04	06:30:00	obsr548297	S33460387	Traveling	P22	EBIRD	120	0.600		4	1	G2123141	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS464556871	2021-08-05 00:46:57.697163	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				2					Honduras	HN	Atlántida	HN-AT							Río Santiago Nature Resort	L1676287	H	15.5931364	-87.0612424	2017-02-09	06:09:00	obsr804519	S34272492	Traveling	P22	EBIRD	300	4.828		1	1	G2833245	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS462791032	2021-08-05 00:46:57.697163	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				2					Honduras	HN	Atlántida	HN-AT							Río Santiago Nature Resort	L1676287	H	15.5931364	-87.0612424	2017-02-01	06:00:00	obsr218138	S34128738	Traveling	P22	EBIRD	700	6.437		5	1	G2187345	1	1	0				
